id,band_gap
mp-1007923,0
mp-1008754,0
mp-1016886,0
mp-1018902,0
mp-1020595,0
mp-1025356,0
mp-1025629,1.10719999999999
mp-1026909,0.5805
mp-1027145,0.3475
mp-1028422,0.5935
mp-1028589,0.9929
mp-1029750,0
mp-1030165,0.803799999999999
mp-1056699,0
mp-1068320,0.4741
mp-10694,6.11
mp-1068217,0
mp-1069697,0
mp-1073035,0
mp-1074714,0
mp-1074475,0
mp-1075302,0
mp-1076342,0
mp-1076391,0
mp-1076510,2.1523
mp-1075664,0
mp-1077950,0
mp-1079742,0
mp-1079392,0
mp-1079773,0
mp-1080045,4.3214
mp-1080153,0.5806
mp-1080712,0
mp-1080742,0
mp-1080522,0
mp-1080818,0
mp-1080785,0
mp-1084770,1.3562
mp-1093819,0.051
mp-1094484,0
mp-1094546,0
mp-1095035,0
mp-1095804,0
mp-1095810,0.0116
mp-1096218,0
mp-1096986,3.2947
mp-1096688,0.4354
mp-1098484,2.5059
mp-1097085,0.372299999999999
mp-1101174,0
mp-1099270,0
mp-1102988,0.9616
mp-1101460,2.90679999999999
mp-1103543,0
mp-1106110,0
mp-1105542,4.2488
mp-1111158,0
mp-1111507,0
mp-1111308,0
mp-1112030,0
mp-1112663,3.0024
mp-1113560,1.9245
mp-1147570,0
mp-1147755,0
mp-1143109,0.0135
mp-1173772,2.38809999999999
mp-1173984,1.0838
mp-1174343,0
mp-1174238,0.916699999999999
mp-1175049,0
mp-1174869,0.394299999999999
mp-1175430,0
mp-1175514,0
mp-1176193,0
mp-1176224,0.0019
mp-1180644,0
mp-1180702,4.1955
mp-1181100,0
mp-1183051,0
mp-1182637,0.0484
mp-1183787,0
mp-1184091,0
mp-1184477,0
mp-1184619,0
mp-1184487,0.0728
mp-1184985,0
mp-1185798,0
mp-1185950,0
mp-1186159,0
mp-1186163,0
mp-1186832,0
mp-1186650,0
mp-1186851,0
mp-1187334,0
mp-1187433,0
mp-1188870,0
mp-1188960,0
mp-1190299,0
mp-1190639,3.7653
mp-1190981,2.42589999999999
mp-1191495,0.252599999999999
mp-1191680,0
mp-1193046,4.3143
mp-1192836,0.0351
mp-1193249,0.0364
mp-1193531,0
mp-1194382,0
mp-1194624,3.309
mp-1194930,2.4497
mp-1195118,3.2254
mp-1196282,7.0169
mp-1196460,4.6788
mp-1197095,2.4651
mp-1198093,0
mp-1198327,0
mp-1199397,4.5975
mp-1199462,2.6834
mp-1199634,5.0714
mp-1202089,0.378799999999999
mp-1202145,0
mp-1202355,3.98529999999999
mp-1203006,0
mp-1204240,5.2016
mp-1204871,0
mp-1205356,2.4896
mp-1203308,4.7858
mp-1206405,0
mp-1206530,0
mp-1206523,3.2206
mp-1207013,0
mp-1207113,0
mp-1208304,0
mp-1208313,0
mp-1208581,0
mp-1208758,4.1061
mp-1208812,2.66989999999999
mp-1208868,3.4917
mp-1210067,0.370699999999999
mp-1210381,0
mp-1210434,0.0657
mp-1210531,0
mp-1210638,0.1808
mp-1210798,0.0063
mp-1211078,0
mp-1212614,4.4365
mp-1212182,0
mp-1214841,5.0814
mp-1215433,0
mp-1215497,0
mp-1215876,0
mp-1213905,3.9286
mp-1216620,0
mp-1216258,0
mp-1216721,0
mp-1218030,3.71019999999999
mp-1218388,0
mp-1218915,0.402299999999999
mp-1219383,1.1061
mp-1219544,0
mp-1219122,2.30899999999999
mp-1219698,0
mp-1220802,3.4048
mp-1220793,0
mp-1220912,2.247
mp-1221393,0
mp-1221743,0.1829
mp-1221335,0
mp-1223286,0
mp-1223569,3.1293
mp-1223731,0
mp-1224168,0
mp-1224713,0
mp-1224301,0
mp-1225678,0
mp-1225850,0.286699999999999
mp-1226412,0
mp-1226843,0
mp-1226962,0.3047
mp-1227517,1.3914
mp-1227676,0
mp-1227770,3.1336
mp-1227342,0
mp-12283,0
mp-1228113,5.0657
mp-1232081,1.5814
mp-1228781,0
mp-1238070,2.8445
mp-1238445,6.5561
mp-1238763,0
mp-1237121,3.8043
mp-1238820,0
mp-1245414,0
mp-1245633,0
mp-1245778,0
mp-1245824,0.883899999999999
mp-1244924,0
mp-1246255,0
mp-1247104,0
mp-1247132,1.6155
mp-1247143,0.0097
mp-1247314,0.1524
mp-1251643,1.79599999999999
mp-12691,0
mp-12782,0
mp-1250240,2.7623
mp-12984,0.8242
mp-1407,0
mp-1334,0
mp-15051,0
mp-14242,1.1446
mp-16225,0
mp-16811,2.1797
mp-18612,1.8107
mp-19105,3.5728
mp-19220,4.52789999999999
mp-19252,2.9074
mp-19309,0
mp-20000,0
mp-19483,0
mp-20580,0.0064
mp-20125,0
mp-2165,0
mp-21676,0
mp-22760,0
mp-22505,0
mp-22810,0
mp-23569,1.5792
mp-23737,2.844
mp-23940,3.1782
mp-23831,5.6225
mp-24172,6.0527
mp-25467,1.95509999999999
mp-24479,4.054
mp-26355,3.3457
mp-26513,0.1036
mp-26644,0.0974
mp-27396,0
mp-27240,0.330899999999999
mp-27835,0
mp-27994,3.2228
mp-2794,0
mp-28122,0.9431
mp-28076,1.178
mp-28274,4.519
mp-28175,1.7183
mp-28929,2.7812
mp-28361,3.858
mp-2954,0
mp-29265,5.4561
mp-31125,0
mp-31128,3.22579999999999
mp-30280,0
mp-31515,0.0344
mp-35404,2.5761
mp-3416,6.72519999999999
mp-3771,3.5165
mp-4324,1.4221
mp-4691,0.4754
mp-3943,1.8594
mp-505145,1.5236
mp-510324,0
mp-5284,0
mp-505396,1.4987
mp-531826,1.9705
mp-534901,4.8553
mp-540684,0.0005
mp-531968,0.3424
mp-542474,1.4061
mp-554160,0.334099999999999
mp-554352,0
mp-542810,2.1214
mp-555064,3.3319
mp-555979,3.6557
mp-556074,0.0915
mp-555034,1.8929
mp-556776,5.8297
mp-557465,5.522
mp-556740,5.5023
mp-557524,0.118199999999999
mp-557597,2.4232
mp-557610,3.0173
mp-558062,2.4831
mp-558067,4.048
mp-561190,1.75349999999999
mp-561258,1.9964
mp-560466,0
mp-561786,0.5136
mp-565597,1.63019999999999
mp-562663,3.8826
mp-568711,0
mp-569174,0
mp-568366,0
mp-570140,2.1516
mp-570025,0
mp-570405,0
mp-581150,0
mp-581641,1.0608
mp-583252,0
mp-585250,2.8736
mp-600005,5.4398
mp-607931,3.45399999999999
mp-610469,0
mp-619575,2.54
mp-616232,2.0799
mp-630866,1.27979999999999
mp-631296,0
mp-631484,0
mp-632291,9.0012
