id,ehull
mp-10009,0.0
mp-1000,0.0
mp-1001012,0.009
mp-1001015,0.047
mp-1001016,0.019
mp-1001017,0.059
mp-1001019,0.003
mp-1001021,0.049
mp-1001023,0.962
mp-1001024,0.003
mp-1001034,0.036
mp-1001079,0.418
mp-1001080,0.005
mp-10013,0.278
mp-1001604,0.0
mp-1001611,0.0
mp-1001780,0.0
mp-1001786,0.0
mp-1001831,0.386
mp-1002063,0.065
mp-1002069,0.094
mp-1002080,0.275
mp-1002081,0.075
mp-1002083,0.062
mp-1002124,0.641
mp-1002164,0.437
mp-10044,0.08
mp-1004528,0.0
mp-1005666,0.017
mp-1006118,0.003
mp-10063,0.0
mp-10064,1.272
mp-1006878,0.12
mp-1006880,0.821
mp-1006885,0.0
mp-1006888,0.0
mp-1006891,0.0
mp-10074,0.006
mp-1007636,0.0
mp-1007637,0.055
mp-1007663,0.0
mp-1007665,0.0
mp-1007760,0.022
mp-1007776,0.235
mp-1007778,0.734
mp-1007823,0.384
mp-1007824,0.354
mp-1007907,0.0
mp-1007908,0.0
mp-1007922,0.053
mp-10080,0.0
mp-1008223,0.258
mp-1008394,0.0
mp-1008395,0.333
mp-1008492,0.001
mp-1008500,0.026
mp-1008506,0.0
mp-1008523,0.993
mp-1008524,0.499
mp-1008528,0.068
mp-1008556,0.016
mp-1008557,0.385
mp-1008559,0.011
mp-1008561,0.0
mp-1008677,0.302
mp-1008680,0.0
mp-10086,0.0
mp-1008776,0.202
mp-1008785,0.188
mp-1008786,0.065
mp-1008807,0.998
mp-1008809,0.682
mp-1008813,0.544
mp-1008858,0.0
mp-1008866,0.292
mp-10089,0.0
mp-1009009,0.288
mp-1009048,0.449
mp-1009082,0.0
mp-1009083,0.01
mp-1009084,0.0
mp-1009085,0.0
mp-1009086,0.022
mp-1009087,0.0
mp-1009088,0.0
mp-1009127,0.748
mp-1009129,0.337
mp-1009130,0.0
mp-1009220,0.157
mp-1009540,0.716
mp-1009543,0.0
mp-1009639,0.119
mp-1009653,0.204
mp-10096,0.0
mp-1009730,0.03
mp-1009733,0.013
mp-1009746,0.531
mp-1009750,0.303
mp-1009755,0.016
mp-1009756,0.036
mp-1009792,0.453
mp-1009813,0.192
mp-1009818,0.73
mp-1009819,0.415
mp-1009820,0.817
